,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
111,Samsung,"₹10,399",VA Panel,68.58 cm,Full HD,250 nits,4 ms,75 Hz
112,DELL,"₹13,799",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
113,Acer,"₹15,499",VA Panel,80.01 cm,Full HD,,1 ms,165 Hz
114,Samsung,"₹8,199",VA Panel,60.96 cm,Full HD,250 nits,4 ms,100 Hz
115,ViewSonic,"₹13,499",IPS Panel,68.58 cm,Quad HD,250 nits,1 ms,100 Hz
116,LG,"₹15,199",IPS Panel,68.58 cm,Full HD,,5 ms,60 Hz
117,Samsung,"₹26,999",IPS Panel,80.1 cm,Quad HD,350 nits,1 ms,180 Hz
118,LG,"₹9,699",IPS Panel,68.58 cm,Full HD,,5 ms,100 Hz
119,ZEBRONICS,"₹22,499",VA Panel,80.01 cm,WQHD,280 nits,1 ms,180 Hz
120,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
121,Enter,"₹2,677",TN Panel,48.26 cm,HD,2502 nits,5 ms,60 Hz
122,BenQ,"₹12,989",IPS Panel,63.5 cm,Full HD,400 nits,1 ms,220 Hz
123,BenQ,"₹7,298",IPS Panel,55.88 cm,Full HD,250 nits,5 ms,60 Hz
124,ASUS,"₹25,599",IPS Panel,68.58 cm,Quad HD,400 nits,1 ms,180 Hz
125,Lenovo,"₹12,199",VA Panel,158.06 cm,Full HD,380 nits,,280 Hz
126,ZEBSTER,"₹2,799",VA Panel,46.9 cm,HD,220 nits,5 ms,60 Hz
127,Samsung,"₹34,499",VA Panel,107.9 cm,4K Ultra HD,300 nits,4 ms,60 Hz
128,DELL,"₹25,999",IPS Panel,68.58 cm,4K Ultra HD,,4 ms,120 Hz
129,LG,"₹14,799",IPS Panel,60.96 cm,Quad HD,,5 ms,75 Hz
130,MSI,"₹8,999",IPS Panel,60.96 cm,Full HD,300 nits,1 ms,180 Hz
131,LG,"₹11,999",IPS Panel,60.45 cm,Quad HD,,5 ms,100 Hz
132,LG,"₹27,999",VA Panel,86.36 cm,WQHD,,1 ms,100 Hz
133,ZEBRONICS,"₹22,499",VA Panel,80.01 cm,WQHD,280 nits,1 ms,180 Hz
134,ZEBRONICS,"₹8,999",VA Panel,63.5 cm,Full HD,250 nits,1 ms,180 Hz
135,Lenovo,"₹7,199",IPS Panel,55.88 cm,Full HD,250 nits,4 ms,75 Hz
136,LG,"₹5,943",TN Panel,46.99 cm,HD,200 nits,5 ms,60 Hz
137,Samsung,"₹14,499",VA Panel,68.58 cm,Full HD,250 nits,4 ms,60 Hz
138,Frontech,"₹8,560",VA Panel,68.58 cm,Full HD,250 nits,1 ms,75 Hz
139,DELL,"₹12,099",IPS Panel,54.61 cm,Full HD,250 nits,5 ms,100 Hz
140,Acer,"₹16,469",IPS Panel,80.01 cm,WQHD,300 nits,1 ms,75 Hz
141,DELL,"₹9,399",IPS Panel,60.45 cm,Full HD,,4 ms,75 Hz
142,Acer,"₹13,999",IPS Panel,80.01 cm,Full HD,300 nits,1 ms,75 Hz
143,LG,"₹5,900",TN Panel,46.99 cm,HD,200 nits,5 ms,60 Hz
144,DELL,"₹18,499",IPS Panel,60.96 cm,Full HD,,5 ms,100 Hz
145,Samsung,"₹26,999",IPS Panel,80.1 cm,Quad HD,350 nits,1 ms,180 Hz
146,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
147,Samsung,"₹18,599",VA Panel,81.28 cm,Full HD,250 nits,1 ms,180 Hz
148,Samsung,"₹18,299",VA Panel,81.28 cm,Full HD,250 nits,4 ms,60 Hz
149,LG,"₹19,599",IPS Panel,60.45 cm,Quad HD,300 nits,5 ms,75 Hz
150,Lenovo,"₹20,699",IPS Panel,68.58 cm,Quad HD,350 nits,1 ms,100 Hz
151,LG,"₹11,849",IPS Panel,60.96 cm,Full HD,300 nits,1 ms,180 Hz
152,Samsung,"₹29,599",VA Panel,81.28 cm,4K Ultra HD,350 nits,5 ms,60 Hz
